Id,SalePrice
1461,128959.4917
1462,122920.7402
1463,175704.826
1464,200050.8326
1465,182075.4699
1466,172318.334
1467,191064.6216
1468,165488.559
1469,193158.9913
1470,116214.0255
1471,197517.3414
1472,110496.8693
1473,104627.9586
1474,160148.6186
1475,121950.2589
1476,346510.3457
1477,247172.186
1478,268659.6426
1479,258557.8025
1480,480282.1382
1481,297738.1127
1482,199547.039
1483,167917.0335
1484,161980.8733
1485,184049.476
1486,197557.6102
1487,314256.1795
1488,244381.7402
1489,184648.6392
1490,224171.3827
1491,190714.8913
1492,96982.00803
1493,210802.3019
1494,287432.0009
1495,285191.5945
1496,216516.0761
1497,166723.8946
1498,150726.2929
1499,156209.5436
1500,144994.9043
1501,153092.7389
1502,147212.1663
1503,299097.6138
1504,236840.3141
1505,219194.3916
1506,191403.8978
1507,256890.3316
1508,194506.0509
1509,157827.2567
1510,136401.3685
1511,142441.6525
1512,173597.8153
1513,142033.6636
1514,159520.6147
1515,200709.8817
1516,153270.5204
1517,166744.5205
1518,134265.7751
1519,217613.4801
1520,122512.4522
1521,122515.6429
1522,178665.2042
1523,99016.10939
1524,113643.3804
1525,118923.2826
1526,105704.4331
1527,99693.75709
1528,150561.4233
1529,138051.2521
1530,218293.493
1531,109960.9763
1532,107665.6014
1533,150931.4828
1534,127051.7066
1535,156245.2987
1536,112500.5467
1537,72812.86583
1538,170432.5549
1539,183898.1585
1540,94789.62952
1541,141845.6052
1542,141621.8117
1543,185697.2837
1544,92467.63963
1545,123174.6704
1546,135711.7594
1547,139412.9758
1548,138285.0568
1549,120309.4896
1550,126816.0098
1551,123457.7511
1552,135736.2352
1553,140872.3818
1554,123317.0303
1555,160388.0125
1556,90697.88542
1557,97366.43493
1558,101610.8024
1559,78048.48869
1560,127459.1723
1561,117926.209
1562,130869.4315
1563,113964.829
1564,165018.6731
1565,150015.5537
1566,252665.9288
1567,80778.81842
1568,210714.2459
1569,115683.9721
1570,142576.0557
1571,118206.0087
1572,143482.4251
1573,254609.8032
1574,114167.9392
1575,228467.5481
1576,258164.2366
1577,180114.8565
1578,132962.3436
1579,136819.1859
1580,201152.7544
1581,155783.9065
1582,125995.5971
1583,333838.276
1584,227943.9912
1585,139710.5485
1586,80689.07881
1587,105633.6594
1588,146423.6721
1589,104361.304
1590,141790.1918
1591,87354.25751
1592,118500.2582
1593,127969.5414
1594,123893.7414
1595,93045.12064
1596,209794.7645
1597,164448.04
1598,189587.7961
1599,184933.9295
1600,175229.5107
1601,69167.80114
1602,115445.3254
1603,72121.31737
1604,246743.47
1605,259079.0565
1606,178260.7317
1607,188518.5611
1608,210686.5261
1609,188784.035
1610,146716.4203
1611,141275.3773
1612,164914.9625
1613,172724.6787
1614,132034.7229
1615,99376.9007
1616,82746.70846
1617,103544.0054
1618,126467.864
1619,147329.5507
1620,166752.4311
1621,139473.5779
1622,140353.9857
1623,284515.8847
1624,206746.5808
1625,118573.1396
1626,177071.8639
1627,192234.3389
1628,280925.6687
1629,176911.0719
1630,339985.4466
1631,196597.5965
1632,216974.2022
1633,175666.705
1634,185410.6391
1635,176161.2475
1636,156618.1991
1637,190828.7632
1638,204436.9843
1639,191765.9272
1640,265907.8103
1641,183496.3382
1642,221090.7965
1643,221588.1223
1644,230460.629
1645,248616.094
1646,168603.7168
1647,167379.75
1648,129013.3845
1649,137520.9939
1650,120706.9434
1651,125922.9468
1652,111747.1874
1653,118198.3773
1654,154049.5133
1655,148000.6107
1656,149448.9087
1657,153411.617
1658,151240.3099
1659,130859.3835
1660,144715.9983
1661,454734.3681
1662,384422.3886
1663,344564.0499
1664,548742.5192
1665,282831.2655
1666,321190.1805
1667,342151.4611
1668,320505.3043
1669,281570.3148
1670,322877.4847
1671,251586.1569
1672,429720.7212
1673,289297.9944
1674,243970.8112
1675,182344.8127
1676,185891.4148
1677,205928.7893
1678,475798.6841
1679,346368.1739
1680,299966.8535
1681,223550.8066
1682,284102.6123
1683,183103.3032
1684,189346.6685
1685,171726.1497
1686,170052.337
1687,170891.9542
1688,192663.6626
1689,196092.2041
1690,201054.2014
1691,189603.7682
1692,258445.7059
1693,168410.5384
1694,181886.9402
1695,170911.3109
1696,274073.4457
1697,179608.7033
